Depot,X,Y,Objective weight,N_Drones, ROI, Profit, Costs, Revenue, Initial Costs, Orders Delivered
depot_180_320,180,320,-0.3,20.0,685.44,2291632.29,2133080.21,4424712.50,334330.00,204.0
depot_180_340,180,340,-0.3,20.0,706.22,2361094.60,2143461.65,4504556.25,334330.00,208.0
depot_180_360,180,360,-0.3,20.0,692.80,2316253.28,2151346.72,4467600.00,334330.00,207.0
depot_180_380,180,380,-0.3,20.0,704.83,2356445.85,2159972.90,4516418.75,334330.00,209.0
depot_180_400,180,400,-0.3,20.0,681.99,2280094.43,2165605.57,4445700.00,334330.00,206.0
depot_180_420,180,420,-0.3,20.0,681.89,2279778.29,2171852.96,4451631.25,334330.00,207.0
depot_180_440,180,440,-0.3,20.0,693.00,2316901.03,2177161.47,4494062.50,334330.00,209.0
depot_180_460,180,460,-0.3,20.0,680.42,2274861.16,2178138.84,4453000.00,334330.00,206.0
depot_180_480,180,480,-0.3,20.0,675.54,2258533.40,2178041.60,4436575.00,334330.00,206.0
depot_200_320,200,320,-0.3,20.0,683.58,2285410.20,2137477.30,4422887.50,334330.00,204.0
depot_200_340,200,340,-0.3,20.0,678.76,2269281.94,2146305.56,4415587.50,334330.00,203.0
depot_200_360,200,360,-0.3,20.0,698.86,2336488.09,2157574.41,4494062.50,334330.00,208.0
depot_200_380,200,380,-0.3,20.0,688.54,2302011.60,2165588.40,4467600.00,334330.00,207.0
depot_200_400,200,400,-0.3,20.0,707.36,2364913.92,2175229.83,4540143.75,334330.00,211.0
depot_200_420,200,420,-0.3,20.0,682.85,2282963.41,2180074.09,4463037.50,334330.00,206.0
depot_200_440,200,440,-0.3,20.0,695.77,2326159.10,2187065.90,4513225.00,334330.00,210.0
depot_200_460,200,460,-0.3,20.0,687.89,2299834.84,2189665.16,4489500.00,334330.00,209.0
depot_200_480,200,480,-0.3,20.0,703.03,2350429.97,2191082.53,4541512.50,334330.00,212.0
depot_220_320,220,320,-0.3,20.0,697.08,2330541.28,2142533.72,4473075.00,334330.00,207.0
depot_220_340,220,340,-0.3,20.0,702.17,2347574.75,2152419.00,4499993.75,334330.00,208.0
depot_220_360,220,360,-0.3,20.0,702.29,2347980.22,2162507.28,4510487.50,334330.00,209.0
depot_220_380,220,380,-0.3,20.0,687.02,2296904.64,2170695.36,4467600.00,334330.00,207.0
depot_220_400,220,400,-0.3,20.0,677.78,2266017.95,2179225.80,4445243.75,334330.00,206.0
depot_220_420,220,420,-0.3,20.0,683.35,2284632.82,2188442.18,4473075.00,334330.00,208.0
depot_220_440,220,440,-0.3,20.0,692.47,2315132.19,2195355.31,4510487.50,334330.00,209.0
depot_220_460,220,460,-0.3,20.0,684.26,2287681.42,2199081.08,4486762.50,334330.00,208.0
depot_220_480,220,480,-0.3,20.0,676.75,2262587.67,2198624.83,4461212.50,334330.00,207.0
depot_240_320,240,320,-0.3,20.0,686.63,2295621.25,2143691.25,4439312.50,334330.00,205.0
depot_240_340,240,340,-0.3,20.0,707.54,2365509.69,2155471.56,4520981.25,334330.00,209.0
depot_240_360,240,360,-0.3,20.0,691.88,2313167.16,2164926.59,4478093.75,334330.00,208.0
depot_240_380,240,380,-0.3,20.0,672.01,2246735.93,2173414.07,4420150.00,334330.00,205.0
depot_240_400,240,400,-0.3,20.0,686.29,2294481.82,2184980.68,4479462.50,334330.00,209.0
depot_240_420,240,420,-0.3,20.0,667.31,2231026.93,2193229.32,4424256.25,334330.00,206.0
depot_240_440,240,440,-0.3,20.0,675.71,2259091.21,2202577.54,4461668.75,334330.00,208.0
depot_240_460,240,460,-0.3,20.0,684.62,2288890.22,2209734.78,4498625.00,334330.00,210.0
depot_240_480,240,480,-0.3,20.0,678.50,2268419.74,2209217.76,4477637.50,334330.00,209.0
