Depot,X,Y,Objective weight,N_Drones, ROI, Profit, Costs, Revenue, Initial Costs, Orders Delivered
depot_180_280,180,280,-0.3,10.0,1164.61,2220788.66,1754061.34,3974850.00,190690.00,181.0
depot_180_300,180,300,-0.3,10.0,1126.98,2149031.27,1762856.23,3911887.50,190690.00,179.0
depot_180_320,180,320,-0.3,10.0,1146.00,2185304.66,1772207.84,3957512.50,190690.00,180.0
depot_180_340,180,340,-0.3,10.0,1125.98,2147140.59,1780715.66,3927856.25,190690.00,180.0
depot_180_360,180,360,-0.3,10.0,1214.37,2315678.42,1790571.58,4106250.00,190690.00,183.0
depot_180_380,180,380,-0.3,10.0,1184.23,2258209.17,1798765.83,4056975.00,190690.00,184.0
depot_180_400,180,400,-0.3,10.0,1201.09,2290360.17,1805852.33,4096212.50,190690.00,184.0
depot_180_420,180,420,-0.3,10.0,1151.20,2195229.12,1808820.88,4004050.00,190690.00,178.0
depot_180_440,180,440,-0.3,10.0,1169.09,2229328.27,1813959.23,4043287.50,190690.00,180.0
depot_180_460,180,460,-0.3,10.0,1140.60,2175018.27,1815800.48,3990818.75,190690.00,179.0
depot_180_480,180,480,-0.3,10.0,1190.99,2271092.55,1818276.20,4089368.75,190690.00,184.0
depot_200_280,200,280,-0.3,10.0,1174.94,2240492.89,1758082.11,3998575.00,190690.00,181.0
depot_200_300,200,300,-0.3,10.0,1125.24,2145727.86,1764790.89,3910518.75,190690.00,175.0
depot_200_320,200,320,-0.3,10.0,1111.42,2119362.43,1775643.82,3895006.25,190690.00,178.0
depot_200_340,200,340,-0.3,10.0,1187.58,2264600.83,1786899.17,4051500.00,190690.00,182.0
depot_200_360,200,360,-0.3,10.0,1201.37,2290890.32,1798022.18,4088912.50,190690.00,187.0
depot_200_380,200,380,-0.3,10.0,1116.46,2128974.23,1803444.52,3932418.75,190690.00,180.0
depot_200_400,200,400,-0.3,10.0,1189.38,2268033.84,1812209.91,4080243.75,190690.00,182.0
depot_200_420,200,420,-0.3,10.0,1157.06,2206389.27,1818648.23,4025037.50,190690.00,181.0
depot_200_440,200,440,-0.3,10.0,1149.29,2191580.43,1823419.57,4015000.00,190690.00,180.0
depot_200_460,200,460,-0.3,10.0,1124.10,2143550.64,1825824.36,3969375.00,190690.00,179.0
depot_200_480,200,480,-0.3,10.0,1149.65,2192272.16,1826377.84,4018650.00,190690.00,180.0
depot_220_280,220,280,-0.3,10.0,1130.66,2156052.06,1759029.19,3915081.25,190690.00,177.0
depot_220_300,220,300,-0.3,10.0,1165.11,2221749.10,1771350.90,3993100.00,190690.00,182.0
depot_220_320,220,320,-0.3,10.0,1211.00,2309258.47,1781935.28,4091193.75,190690.00,184.0
depot_220_340,220,340,-0.3,10.0,1251.78,2387028.34,1794502.91,4181531.25,190690.00,190.0
depot_220_360,220,360,-0.3,10.0,1145.37,2184104.31,1800326.94,3984431.25,190690.00,182.0
depot_220_380,220,380,-0.3,10.0,1214.80,2316508.54,1812553.96,4129062.50,190690.00,188.0
depot_220_400,220,400,-0.3,10.0,1165.81,2223084.76,1819290.24,4042375.00,190690.00,184.0
depot_220_420,220,420,-0.3,10.0,1153.25,2199134.68,1827271.57,4026406.25,190690.00,183.0
depot_220_440,220,440,-0.3,10.0,1131.89,2158410.44,1832864.56,3991275.00,190690.00,181.0
depot_220_460,220,460,-0.3,10.0,1174.78,2240185.73,1838233.02,4078418.75,190690.00,184.0
depot_220_480,220,480,-0.3,10.0,1186.04,2261653.79,1837296.21,4098950.00,190690.00,182.0
depot_240_280,240,280,-0.3,10.0,1130.01,2154820.85,1760260.40,3915081.25,190690.00,176.0
