Depot,Objective weight,N_Drones, ROI, Profit, Costs, Revenue, Initial Costs
centre depot-0.1,6.0, 797.59, 1062655.04, 1682601.21, 2745256.25, 133234.00,128.0
centre depot-0.1,7.0, 1050.45, 1550438.24, 1727718.01, 3278156.25, 147598.00,149.0
centre depot-0.1,8.0, 1094.74, 1773060.74, 1768808.01, 3541868.75, 161962.00,162.0
centre depot-0.1,9.0, 1204.35, 2123579.09, 1810664.66, 3934243.75, 176326.00,177.0
centre depot-0.1,10.0, 1175.87, 2242273.82, 1848463.68, 4090737.50, 190690.00,183.0
centre depot-0.1,11.0, 1145.38, 2348649.80, 1886262.70, 4234912.50, 205054.00,189.0
centre depot-0.1,12.0, 1081.00, 2371915.36, 1923222.14, 4295137.50, 219418.00,193.0
centre depot-0.1,13.0, 1047.24, 2448263.92, 1961392.33, 4409656.25, 233782.00,200.0
centre depot-0.1,14.0, 975.80, 2421414.91, 1995997.59, 4417412.50, 248146.00,199.0
centre depot-0.1,15.0, 965.86, 2535474.21, 2034325.79, 4569800.00, 262510.00,206.0
centre depot-0.1,16.0, 891.82, 2469223.15, 2068183.10, 4537406.25, 276874.00,204.0
centre depot-0.1,17.0, 844.20, 2458641.13, 2105227.62, 4563868.75, 291238.00,208.0
