Depot,Objective weight,N_Drones, ROI, Profit, Costs, Revenue, Initial Costs
centre depot-0.3,2.0, -848.98, -643342.77, 1513411.52, 870068.75, 75778.00,40.0
centre depot-0.3,4.0, 243.77, 254758.38, 1607197.87, 1861956.25, 104506.00,90.0
centre depot-0.3,6.0, 929.52, 1238440.05, 1699353.70, 2937793.75, 133234.00,136.0
centre depot-0.3,8.0, 1216.54, 1970325.97, 1786892.78, 3757218.75, 161962.00,173.0
centre depot-0.3,10.0, 1571.95, 2997545.87, 1880222.88, 4877768.75, 190690.00,222.0
centre depot-0.3,12.0, 1661.24, 3645049.85, 1966825.15, 5611875.00, 219418.00,257.0
centre depot-0.3,14.0, 1780.44, 4418089.88, 2057466.37, 6475556.25, 248146.00,300.0
centre depot-0.3,16.0, 1928.04, 5338236.88, 2147456.87, 7485693.75, 276874.00,342.0
centre depot-0.3,18.0, 1863.70, 5695517.24, 2228176.51, 7923693.75, 305602.00,364.0
centre depot-0.3,20.0, 1891.61, 6324217.73, 2318069.77, 8642287.50, 334330.00,406.0
centre depot-0.3,22.0, 1966.27, 7138697.05, 2403771.70, 9542468.75, 363058.00,439.0
centre depot-0.3,24.0, 1926.52, 7547831.90, 2489211.85, 10037043.75, 391786.00,471.0
