Depot,Objective weight,N_Drones, ROI, Profit, Costs, Revenue, Initial Costs
centre depot-0.3,2.0, -574.45, -435304.93, 1515704.93, 1080400.00, 75778.00,45.0
centre depot-0.3,4.0, 250.01, 261279.58, 1602957.92, 1864237.50, 104506.00,81.0
centre depot-0.3,6.0, 723.49, 963941.18, 1690065.07, 2654006.25, 133234.00,117.0
centre depot-0.3,8.0, 1036.31, 1678428.83, 1776752.42, 3455181.25, 161962.00,152.0
centre depot-0.3,10.0, 1066.70, 2034090.81, 1857265.44, 3891356.25, 190690.00,174.0
centre depot-0.3,12.0, 1173.14, 2574089.95, 1939591.30, 4513681.25, 219418.00,200.0
centre depot-0.3,14.0, 1068.42, 2651238.43, 2012549.07, 4663787.50, 248146.00,206.0
centre depot-0.3,16.0, 1036.98, 2871132.39, 2089673.86, 4960806.25, 276874.00,221.0
centre depot-0.3,18.0, 941.88, 2878395.16, 2160886.09, 5039281.25, 305602.00,224.0
centre depot-0.3,20.0, 842.89, 2818023.53, 2231751.47, 5049775.00, 334330.00,226.0
centre depot-0.3,22.0, 756.97, 2748252.98, 2301522.02, 5049775.00, 363058.00,226.0
centre depot-0.3,24.0, 683.68, 2678579.66, 2371195.34, 5049775.00, 391786.00,226.0
