location,distance,rent_m2_yearly,rent_m2_monthly,m2,rent_total_monthly
Voldersgracht 18,60,324,27,100,2700
Voldersgracht 23,80,443,36.91666667,46,1698.166667
Voldersgracht 22,80,233,19.41666667,154,2990.166667
Oude Langendijk 9,85,270,22.5,200,4500
Jacob Gerritstraat 3,105,460,38.33333333,141,5405
Burgwal 4,105,155,12.91666667,180,2325
Brabantse Turfmarkt 94,140,358,29.83333333,67,1998.833333
Brabantse Turfmarkt 84,155,311,25.91666667,135,3498.75
Vrouwjuttenland 22,160,215,17.91666667,120,2150
Burgwal 45,165,140,11.66666667,75,875
Choorstraat 27,165,317,26.41666667,75,1981.25
Choorstraat 11,170,346,28.83333333,78,2249
Hippolytusbuurt 29-A,175,182,15.16666667,164,2487.333333
Choorstraat 30-B,180,209,17.41666667,83,1445.583333
Hippolytusbuurt 31,180,256,21.33333333,150,3200
Brabantse Turfmarkt 63-65,185,562,46.83333333,160,7493.333333
Brabantse Turfmarkt 68-A,200,313,26.08333333,188,4903.666667
Molslaan 4,205,525,43.75,40,1750
Molslaan 10-12,205,165,13.75,181,2488.75
Molslaan 56,210,282,23.5,68,1598
Oude Delft 128,225,378,31.5,19,598.5
Voorstraat 6,225,308,25.66666667,146,3747.333333
Paradijspoort 10-12,255,169,14.08333333,266,3746.166667
Paradijspoort 14-16,265,162,13.5,645,8707.5
Kruisstraat 34,285,327,27.25,165,4496.25
Paradijspoort 7-11,290,237,19.75,400,7900
Kruisstraat 71,335,180,15,495,7425
Oude Delft 197,345,240,20,80,1600
Sint Agathaplein 4,345,173,14.41666667,135,1946.25
Breestraat 34,395,255,21.25,115,2443.75
Oude Delft 205,400,140,11.66666667,346,4036.666667
Vesteplein 7,440,172,14.33333333,521,7467.666667
Phoenixstraat 60-A,450,185,15.41666667,271,4177.916667
Bastiaansplein 9,470,204,17,855,14535
Barbarasteeg 5,515,145,12.08333333,160,1933.333333
Oude Delft 226,525,460,38.33333333,60,2300
Bagijnestraat 18,540,167,13.91666667,158,2198.833333
Rotterdamseweg 94,785,396,33,53,1749
Zocherweg 2,940,225,18.75,726,13612.5
Maerten Tropmstraat 25,960,180,15,60,900
Papsouwselaan 1-D,1140,275,22.91666667,197,4514.583333
Poortweg 6-8,1160,135,11.25,2251,25323.75
Olof Palmestraat 10,1220,115,9.583333333,1221,11701.25
Neringstraat 18,1250,174,14.5,124,1798
Van Foreestweg 2,1540,225,18.75,200,3750
Martinus Nijhofflaan 1-A,1720,210,17.5,261,4567.5
Stieltjesweg 824,1740,260,21.66666667,30,650
Buitenhofdreef 2,1760,140,11.66666667,2758,32176.66667
Vulcanusweg 281,1930,65,5.416666667,945,5118.75
Vulcanusweg 279,1950,45,3.75,681,2553.75
Vulcanusweg 277,1960,20,1.666666667,1730,2883.333333
Delftechpark 11,2250,330,27.5,40,1100
Delftechpark 9,2270,130,10.83333333,272,2946.666667
Delftechpark 19,2280,135,11.25,918,10327.5
Delftechpark 37-A,2340,135,11.25,482,5422.5
Rotterdamseweg 366,2360,64,5.333333333,464,2474.666667
Delftechpark 57,2360,135,11.25,1018,11452.5
Elektronicaweg 31-33,2400,130,10.83333333,960,10400
Delftechpark 32,2440,135,11.25,2711,30498.75
Buitenhofdreef 270,2460,193,16.08333333,31,498.5833333
Buitenhofdreef 272,2470,128,10.66666667,150,1600
Rotterdamseweg 380,2570,135,11.25,447,5028.75
Vlinderweg 2,2570,125,10.41666667,455,4739.583333
Verlengde Spiegelmakerstraat 30,2610,210,17.5,100,1750
Kalfjeslaan 2,2610,99,8.25,340,2805
Dijkgraafstraat,2690,150,12.5,200,2500
Turbinweg 14-B,2700,127,10.58333333,54,571.5
Dijkgraafstraat 7,2700,129,10.75,1350,14512.5
Schieweg 64,2720,150,12.5,400,5000
Ampereweg 12,2780,76,6.333333333,780,4940
Rotterdamseweg 386-B1,2800,140,11.66666667,273,3185
Dynamoweg 2,2840,145,12.08333333,165,1993.75
Dynamoweg 26,2840,130,10.83333333,180,1950
Tanthofdreef 21,2940,120,10,360,3600
"Marconiweg 8-E, F",3150,147,12.25,110,1347.5
Rotterdamseweg 402-G,3240,67,5.583333333,225,1256.25
Rotterdamseweg 410-C,3420,105,8.75,500,4375
Groothandelsweg 21,3430,180,15,60,900
Einsteinweg 10,3440,72,6,1325,7950
Distributieweg 28,3530,115,9.583333333,208,1993.333333
